task_size,current_edge_queue_time,current_leo_latency,chosen_node,total_experienced_latency
17.734941647372978,2.75,95.7467187798734,edge,2.4702160623301097
15.236742356714961,5.5,96.91058755958002,edge,3.5774197511469765
29.036079017044848,5.5,97.77414679763143,edge,6.17253863249789
29.901153505937373,2.75,110.24164177033963,edge,4.7397691897834875
44.08075387683248,2.75,115.5504083257163,edge,7.26900609859149
30.83288988318495,2.75,127.09328489439784,edge,6.234135881914426
13.296365167553677,5.5,134.84806962510504,edge,4.742366004261726
26.497813426955947,5.5,137.18829981197376,edge,6.527509188896488
8.333697661503791,5.5,144.36476838663907,edge,4.65875662829103
11.713891301314483,5.5,148.65611532511033,edge,4.169318535544903
49.72631552195991,5.5,154.696753394722,edge,6.730443552214183
32.28429430593333,5.5,156.54572832091864,edge,9.20020691561183
28.515764080859803,5.5,161.70116357837466,edge,9.87472191250265
8.377919100552557,11.0,184.40644543477782,leo,0.35196482744584046
31.721503780380345,11.0,185.30162117555554,leo,0.8197316967831512
43.707499962178105,8.25,168.03398362801454,edge,11.417308896662462
32.94622944824668,8.25,173.08338805326252,edge,12.295791108529102
35.93232140320592,11.0,192.15084795294513,leo,0.9107972760169787
47.64155901464201,8.25,180.1383198579833,edge,13.339679093539644
34.71926617364165,8.25,183.75736966069033,edge,14.67853012498756
36.8130123445565,8.25,188.51822321838418,edge,15.19081230400866
33.127610322389984,8.25,195.99717022933535,edge,11.777995277086234
24.131253474689522,8.25,198.78879671187514,edge,9.890115249218638
45.87851503456727,8.25,199.85850170384117,edge,11.035062582467845
12.46652551493261,8.25,199.99977657077315,edge,10.567485623393736
30.614317219359158,8.25,199.40052960545594,edge,9.88204417912084
42.61813762577816,11.0,190.23870285233065,leo,1.0426014553678442
35.990509604544215,8.25,198.63591121647013,edge,11.608034165051095
27.52124797030665,8.25,195.70188470109,edge,10.032130239849607
6.793735288262587,8.25,194.07108785305203,edge,8.970178212977885
16.266555608540173,8.25,191.3314217514089,edge,8.12986902375701
49.98075875948531,8.25,183.9332722625052,edge,7.898439404970759
6.810425291507728,5.5,180.0201222517312,edge,6.270948856220343
34.31792702451588,5.5,174.56272243122234,edge,6.791239088917109
31.339833137503447,8.25,170.4050298646505,edge,7.880754960998161
9.105908283222224,5.5,163.91448720089454,edge,5.816168382747378
35.15600792845335,5.5,158.09438502234468,edge,6.8318439945974205
36.215315329254466,5.5,152.00407687137906,edge,7.963964536785966
41.61047156320877,5.5,140.80694711467925,edge,7.78943107441728
19.153272072657558,5.5,133.08269752592082,edge,6.8402805558778255
23.187877565033553,5.5,120.84657722651795,edge,4.748514131955517
34.5947173917408,2.75,108.250443493769,edge,3.743628226784381
13.44121436275372,2.75,100.52150323859831,edge,2.3480069506617838
33.143393396525404,0.0,90.01437521800251,edge,3.3243393396525107
29.714883758839925,2.75,84.24376830301196,edge,4.185153000485684
36.42125131049775,2.75,76.72973361495701,edge,5.012929846318343
32.399225018688426,5.5,74.4207539183365,edge,7.368964258694177
29.787755315120148,5.5,69.36286794315419,edge,8.372605298790518
29.806928459621133,11.0,42.261450037732715,leo,0.6384000192301755
49.651571272784885,8.25,64.93905096677418,edge,11.558134822224474
10.28597670903009,8.25,58.07408157933045,edge,9.70238881059106
37.2471496696306,8.25,51.39709933749113,edge,10.431977263432486
